iter	RMSE
0	4.87553255
1	4.746087762
2	4.60262394
3	4.473808581
4	4.385324209
5	4.284928808
6	4.171214097
7	4.071696202
8	4.001118146
9	3.907187886
10	3.830884829
11	3.752093246
12	3.693774141
13	3.635245563
14	3.563508075
15	3.50377443
16	3.461788549
17	3.415389565
18	3.376695954
19	3.32785596
20	3.272720832
21	3.226452657
22	3.178212754
23	3.147044711
24	3.120011656
25	3.090829818
26	3.05941216
27	3.024887812
28	2.981315408
29	2.950170559
30	2.924199074
31	2.911484427
32	2.886685148
33	2.861016042
34	2.843332677
35	2.818861885
36	2.794012128
37	2.768357049
38	2.748809426
39	2.729412855
40	2.714323222
41	2.700703563
42	2.680390847
43	2.661075777
44	2.636880579
45	2.623120625
46	2.601781058
47	2.593937134
48	2.586523051
49	2.57233419
50	2.564681926
51	2.553988696
52	2.536575885
53	2.523616442
54	2.507303312
55	2.490417779
56	2.482215044
57	2.469948943
58	2.458877036
59	2.449253556
60	2.43743478
61	2.432634373
62	2.421551588
63	2.416602581
64	2.410155233
65	2.404012389
66	2.397336373
67	2.390601947
68	2.382256112
69	2.370228946
70	2.360335307
71	2.352637116
72	2.343620738
73	2.339700291
74	2.330988885
75	2.324433987
76	2.319668067
77	2.310190729
78	2.30428661
79	2.301250463
80	2.298672301
81	2.294796937
82	2.28675115
83	2.284367165
84	2.279684655
85	2.272419705
86	2.259526909
87	2.25591502
88	2.247792965
89	2.243901912
90	2.236698379
91	2.228724786
92	2.223254939
93	2.214051038
94	2.20953476
95	2.207153099
96	2.201029047
97	2.197287892
98	2.193152255
99	2.188655982
100	2.181951313
101	2.180291221
102	2.174753793
103	2.171872583
104	2.1696677
105	2.164145988
106	2.159639157
107	2.157527257
108	2.156051143
109	2.153855433
110	2.148592754
111	2.143276365
112	2.13796488
113	2.133128892
114	2.131657718
115	2.129174039
116	2.124262608
117	2.122033948
118	2.117671919
119	2.113678649
120	2.111907583
121	2.109885263
122	2.106304006
123	2.104970391
124	2.103117299
125	2.100167716
126	2.098601549
127	2.096965115
128	2.092559072
129	2.089056815
130	2.087560703
131	2.08412138
132	2.082988808
133	2.080860324
134	2.076837451
135	2.07556164
136	2.074091439
137	2.072413394
138	2.071071062
139	2.070085294
140	2.06895019
141	2.065958875
142	2.063242597
143	2.059797026
144	2.056410167
145	2.055016651
146	2.054173375
147	2.05276857
148	2.05044891
149	2.049465156
150	2.04862698
151	2.046643099
152	2.045663349
153	2.042667171
154	2.041736243
155	2.039810651
156	2.039084033
157	2.038118222
158	2.033190362
159	2.032126622
160	2.030819743
161	2.027984956
162	2.026342365
163	2.017348648
164	2.013970116
165	2.013190127
166	2.010645978
167	2.008315825
168	2.007660111
169	2.006337228
170	2.005183682
171	2.004557317
172	2.002089665
173	2.000631755
174	1.99591806
175	1.992999795
176	1.992165951
177	1.990417746
178	1.988504063
179	1.987878565
180	1.986274667
181	1.985993602
182	1.985155254
