iter	Passed	Remaining
0	0	164
1	0	162
2	0	158
3	1	152
4	1	145
5	1	142
6	2	141
7	2	139
8	2	138
9	2	138
10	3	137
11	3	137
12	3	135
13	4	134
14	4	139
15	4	141
16	5	142
17	5	141
18	5	141
19	6	140
20	6	140
21	6	139
22	6	138
23	7	139
24	7	139
25	7	139
26	8	138
27	8	137
28	8	137
29	9	137
30	9	137
31	9	137
32	10	138
33	10	137
34	10	137
35	10	136
36	11	135
37	11	135
38	11	135
39	12	134
40	12	134
41	12	133
42	13	133
43	13	133
44	13	132
45	13	131
46	14	131
47	14	131
48	14	130
49	15	129
50	15	129
51	15	129
52	15	128
53	16	128
54	16	128
55	16	128
56	17	127
57	17	127
58	17	126
59	17	126
60	18	125
61	18	124
62	18	124
63	18	123
64	19	123
65	19	123
66	19	122
67	20	122
68	20	122
69	20	121
70	20	121
71	21	121
72	21	120
73	21	120
74	22	120
75	22	119
76	22	119
77	22	119
78	23	118
79	23	118
80	23	117
81	24	117
82	24	117
83	24	116
84	24	116
85	25	116
86	25	116
87	25	115
88	26	115
89	26	115
90	26	115
91	27	115
92	27	115
93	27	115
94	28	115
95	28	114
96	28	115
97	29	114
98	29	114
99	29	113
100	30	113
101	30	113
102	30	112
103	30	112
104	31	111
105	31	111
106	31	111
107	31	111
108	32	110
109	32	110
110	32	110
111	33	109
112	33	109
113	33	109
114	33	108
115	34	108
116	34	107
117	34	107
118	34	106
119	35	106
120	35	106
121	35	105
122	36	106
123	36	105
124	36	105
125	37	105
126	37	105
127	37	104
128	38	104
129	38	104
130	38	103
131	38	103
132	39	103
133	39	102
134	39	102
135	40	102
136	40	102
137	40	101
138	40	101
139	41	100
140	41	100
141	41	100
142	41	99
143	42	99
144	42	98
145	42	98
146	43	98
147	43	98
148	43	97
149	43	97
150	44	97
151	44	97
152	44	96
153	45	96
154	45	96
155	45	95
156	45	95
157	46	95
158	46	94
159	46	94
160	47	94
161	47	93
162	47	94
163	48	93
164	48	93
165	48	93
166	49	93
167	49	93
168	49	92
169	50	92
170	50	92
171	51	92
172	51	92
173	51	92
174	52	92
175	52	91
176	53	91
177	53	91
178	53	91
179	53	90
180	54	90
181	54	90
182	54	90
183	55	89
184	55	89
185	56	89
186	56	89
187	56	88
188	57	88
189	57	88
190	57	88
191	57	87
192	58	88
193	59	87
194	59	87
195	59	87
196	60	87
197	60	86
198	60	86
199	61	86
200	61	86
201	61	86
202	62	85
203	62	85
204	62	85
205	63	84
206	63	84
207	63	84
208	64	84
209	64	83
210	64	83
211	65	83
212	65	83
213	65	82
214	66	82
215	66	82
216	66	81
217	67	81
218	67	81
219	67	80
220	68	80
221	68	80
222	68	80
223	69	79
224	69	79
225	69	79
226	69	78
227	70	78
228	70	78
229	70	78
230	71	77
231	71	77
232	71	77
233	72	76
